Date,Time,Open,High,Low,Close,Volume
2022.03.18,0:00,40985.4,41054.4,40894.4,40927.4,476
2022.03.18,0:05,40924.4,40928.4,40871.4,40900.4,395
2022.03.18,0:10,40900.4,40916.4,40868.4,40868.4,454
2022.03.18,0:15,40865.4,40897.4,40859.4,40873.4,334
2022.03.18,0:20,40873.4,40937.4,40873.4,40930.4,355
2022.03.18,0:25,40930.4,40932.4,40896.4,40919.4,208
2022.03.18,0:30,40919.4,40933.4,40894.4,40927.4,267
2022.03.18,0:35,40926.4,40959.4,40911.4,40911.4,257
2022.03.18,0:40,40912.4,40927.4,40878.4,40888.4,208
2022.03.18,0:45,40887.4,40928.4,40879.4,40925.4,258
2022.03.18,0:50,40925.4,40983.4,40923.4,40977.4,503
2022.03.18,0:55,40977.4,40982.4,40938.4,40974.4,367
2022.03.18,1:00,40975.4,40983.4,40911.4,40914.4,379
2022.03.18,1:05,40914.4,40921.4,40878.4,40878.4,343
2022.03.18,1:10,40876.4,40907.4,40871.4,40875.4,286
2022.03.18,1:15,40874.4,40928.4,40870.4,40928.4,156
2022.03.18,1:20,40928.4,40973.4,40922.4,40962.4,515
2022.03.18,1:25,40962.4,40969.4,40915.4,40936.4,325
2022.03.18,1:30,40934.4,40940.4,40894.4,40894.4,225
2022.03.18,1:35,40895.4,40933.4,40874.4,40931.4,281
2022.03.18,1:40,40933.4,40953.4,40889.4,40889.4,300
2022.03.18,1:45,40892.4,40928.4,40892.4,40928.4,227
2022.03.18,1:50,40932.4,40940.4,40908.4,40929.4,266
2022.03.18,1:55,40929.4,40943.4,40897.4,40897.4,350
2022.03.18,2:00,40897.4,40913.4,40857.4,40861.4,215
2022.03.18,2:05,40861.4,40861.4,40755.4,40773.4,601
2022.03.18,2:10,40774.4,40820.4,40771.4,40818.4,491
2022.03.18,2:15,40819.4,40851.4,40792.4,40813.4,429
2022.03.18,2:20,40813.4,40909.4,40813.4,40895.4,423
2022.03.18,2:25,40894.4,40894.4,40840.4,40865.4,349
2022.03.18,2:30,40866.4,40909.4,40841.4,40873.4,366
2022.03.18,2:35,40871.4,40872.4,40808.4,40824.4,426
2022.03.18,2:40,40822.4,40831.4,40706.4,40727.4,728
2022.03.18,2:45,40726.4,40753.4,40678.4,40697.4,575
2022.03.18,2:50,40697.4,40718.4,40597.4,40647.4,492
2022.03.18,2:55,40646.4,40678.4,40242.4,40331.4,1647
2022.03.18,3:00,40332.4,40435.4,40252.4,40386.4,896
2022.03.18,3:05,40368.4,40415.4,40323.4,40405.4,729
2022.03.18,3:10,40405.4,40458.4,40389.4,40447.4,557
2022.03.18,3:15,40447.4,40457.4,40407.4,40408.4,287
2022.03.18,3:20,40401.4,40534.4,40398.4,40534.4,328
2022.03.18,3:25,40534.4,40535.4,40442.4,40491.4,512
2022.03.18,3:30,40492.4,40495.4,40431.4,40441.4,359
2022.03.18,3:35,40441.4,40478.4,40441.4,40463.4,475
2022.03.18,3:40,40465.4,40503.4,40456.4,40501.4,237
2022.03.18,3:45,40501.4,40505.4,40448.4,40486.4,345
2022.03.18,3:50,40481.4,40510.4,40463.4,40478.4,231
2022.03.18,3:55,40478.4,40526.4,40478.4,40526.4,218
2022.03.18,4:00,40524.4,40529.4,40478.4,40481.4,245
2022.03.18,4:05,40480.4,40484.4,40463.4,40475.4,109
2022.03.18,4:10,40476.4,40478.4,40418.4,40473.4,460
2022.03.18,4:15,40469.4,40479.4,40417.4,40443.4,389
2022.03.18,4:20,40445.4,40484.4,40445.4,40464.4,224
2022.03.18,4:25,40462.4,40497.4,40456.4,40497.4,368
2022.03.18,4:30,40497.4,40501.4,40459.4,40480.4,235
2022.03.18,4:35,40480.4,40613.4,40480.4,40568.4,464
2022.03.18,4:40,40568.4,40585.4,40532.4,40541.4,181
2022.03.18,4:45,40530.4,40542.4,40501.4,40501.4,136
2022.03.18,4:50,40506.4,40506.4,40489.4,40490.4,165
