Date,Time,Open,High,Low,Close,Volume
2017.08.16,0:00,4123.65,4363.16,4092.45,4336.2,12066
2017.08.17,0:00,4335.82,4462.19,4173.22,4311.45,35011
2017.08.18,0:00,4312.34,4348.2,4000.52,4000.8,24007
2017.08.21,0:00,4114.2,4136.2,3948.21,3986.19,45150
2017.08.22,0:00,3986.2,4133.55,3585.8,4061.21,38212
2017.08.23,0:00,4062.17,4240.99,4009.99,4122.57,20275
2017.08.24,0:00,4122.88,4237.19,4079.36,4222.2,23751
2017.08.25,0:00,4222.7,4444.54,4211.21,4317.23,18066
2017.08.28,0:00,4357.84,4358.19,4188.21,4328.05,29792
2017.08.29,0:00,4327.98,4635.03,4327.89,4580.25,24479
2017.08.30,0:00,4581.72,4629.03,4493.76,4563.19,15167
2017.08.31,0:00,4563.2,4762.22,4541.08,4731.2,12160
2017.09.01,0:00,4731.26,4908.2,4699.2,4871.89,7126
2017.09.04,0:00,4568.34,4638.14,4224.64,4508.21,41154
2017.09.05,0:00,4508.22,4569.12,4233.11,4445.24,60012
2017.09.06,0:00,4445.24,4685.19,4409.38,4557.45,30629
2017.09.07,0:00,4551.76,4658.59,4469.76,4563.68,32247
2017.09.08,0:00,4562.84,4673.18,4128.62,4237.56,24038
2017.09.11,0:00,4274.34,4353.2,4104.52,4180.67,35462
2017.09.12,0:00,4179.6,4368.19,4073.25,4168.15,19696
2017.09.13,0:00,4168,4192.5,3719.22,3882.2,39064
2017.09.14,0:00,3883.7,3938.19,3233.2,3386.18,38392
2017.09.15,0:00,3386.16,3885.51,2968.21,3710.88,59864
2017.09.18,0:00,3751.76,4112.4,3703.09,3995.25,45385
2017.09.19,0:00,3997.2,4113.36,3838.95,3893.74,39404
2017.09.20,0:00,3893.76,4037.19,3838.22,3948.71,23123
2017.09.21,0:00,3947.33,3959.8,3561.18,3643.14,30604
2017.09.22,0:00,3643.01,3755.95,3503.19,3603.3,28835
2017.09.25,0:00,3660.51,3958.54,3652.52,3926.22,14519
2017.09.26,0:00,3926.22,3953.19,3842.5,3896.59,20450
2017.09.27,0:00,3896.98,4178.61,3869.25,4142.47,14487
2017.09.28,0:00,4140.25,4263.14,4115.24,4152.7,15461
2017.09.29,0:00,4153.2,4206.18,4003.38,4158.66,9159
2017.10.02,0:00,4324.05,4463.19,4324.05,4368.21,4632
2017.10.03,0:00,4370.19,4408.15,4233.21,4270.67,6050
2017.10.04,0:00,4270.74,4336.72,4172.21,4188.08,8278
2017.10.05,0:00,4188.1,4355.53,4138.22,4334.43,8153
2017.10.06,0:00,4335.58,4400.18,4288.2,4334.66,4666
2017.10.09,0:00,4569.65,4868.49,4554.21,4830.38,10444
2017.10.10,0:00,4830.29,4918.84,4725.98,4857.87,9633
2017.10.11,0:00,4857.86,4862.68,4691.98,4815.64,11719
2017.10.12,0:00,4815.72,5384.79,4777.7,5304.77,20119
2017.10.13,0:00,5305.6,5853.89,5260.53,5605.56,27129
2017.10.16,0:00,5513.14,5746.19,5491.43,5682.9,22288
2017.10.17,0:00,5682.79,5773.5,5518.28,5568.2,11539
2017.10.18,0:00,5569.2,5594.08,5095.21,5509.07,13908
2017.10.19,0:00,5510.64,5738,5488.21,5689.89,12033
2017.10.20,0:00,5693.2,6052.19,5623.2,5960.84,10928
2017.10.23,0:00,5871.39,6045.22,5644.18,5903.2,15633
2017.10.24,0:00,5905.38,5920.9,5544.21,5582.4,20934
2017.10.25,0:00,5582.46,5682.19,5364.93,5666.57,18768
2017.10.26,0:00,5669.07,5978.19,5639.65,5830.2,9830
2017.10.27,0:00,5838.2,5986.2,5702,5751,6859
2017.10.30,0:00,6174.21,6196.2,6021.2,6080.92,5637
2017.10.31,0:00,6080.93,6413.32,6080.93,6386.97,7793
