Date,Time,Open,High,Low,Close,Volume
2012.04.08,0:00,4.7,5,4.6,5,396072
2012.04.15,0:00,5,5.5,4.9,5.3,389691
2012.04.22,0:00,5.3,5.4,4.9,5,353026
2012.04.29,0:00,5,5.2,4.9,5.1,305582
2012.05.06,0:00,5.1,5.2,4.8,5,321319
2012.05.13,0:00,5,5.2,4.9,5.2,287388
2012.05.20,0:00,5.1,5.2,5,5.1,217579
2012.05.27,0:00,5.1,5.3,5,5.3,240765
2012.06.03,0:00,5.3,5.8,5.2,5.6,339257
2012.06.10,0:00,5.6,6.6,5.5,6.4,404140
2012.06.17,0:00,6.4,6.8,6,6.4,321066
2012.06.24,0:00,6.4,6.7,6.2,6.7,263621
2012.07.01,0:00,6.7,6.9,6.4,6.8,289049
2012.07.08,0:00,6.8,7.9,6.8,7.6,346645
2012.07.15,0:00,7.5,9.7,7.3,8.8,793030
2012.07.22,0:00,8.9,9.3,7.8,8.9,352511
2012.07.29,0:00,8.9,11.3,8.7,11,503082
2012.08.05,0:00,11,12,10.1,11.5,342204
2012.08.12,0:00,11.5,15.4,10.6,11.6,800139
2012.08.19,0:00,11.6,11.6,7.6,10.5,546733
2012.08.26,0:00,10.6,12.2,9.7,10,430711
2012.09.02,0:00,10,11.3,9.7,11.1,259424
2012.09.09,0:00,11,11.8,10.7,11.7,276254
2012.09.16,0:00,11.8,12.7,11.8,12.3,232732
2012.09.23,0:00,12.2,12.5,11.6,12.3,142854
2012.09.30,0:00,12.4,13.1,12.3,12.5,265984
2012.10.07,0:00,12.5,12.6,10.6,11.9,248534
2012.10.14,0:00,11.9,12.1,11.5,11.8,168366
2012.10.21,0:00,11.7,12,9.7,10.2,367665
2012.10.28,0:00,10.3,11.3,10.3,10.7,212583
2012.11.04,0:00,10.6,11.2,10.5,10.9,152568
2012.11.11,0:00,10.9,11.8,10.7,11.8,205270
2012.11.18,0:00,11.8,12.5,11.6,12.4,192489
2012.11.25,0:00,12.4,12.7,11.9,12.6,179480
2012.12.02,0:00,12.6,13.7,12.5,13.5,260870
2012.12.09,0:00,13.4,13.9,13,13.5,244100
2012.12.16,0:00,13.5,13.7,12.8,13.4,230381
2012.12.23,0:00,13.4,13.7,13,13.4,144672
2012.12.30,0:00,13.4,13.6,13.1,13.4,162850
2013.01.06,0:00,13.4,14.3,13.3,14.2,269837
2013.01.13,0:00,14.2,16,13.9,15.6,301341
2013.01.20,0:00,15.6,19.2,15.4,17.9,636457
2013.01.27,0:00,17.9,21.5,17.2,19.7,674520
2013.02.03,0:00,19.7,24,19.4,23.7,924126
2013.02.10,0:00,23.8,27.6,21.7,27.2,853973
2013.02.17,0:00,27.2,31.3,25,29.8,837113
2013.02.24,0:00,29.8,34.9,29.2,34.3,805827
2013.03.03,0:00,34.3,49.2,33.3,46.9,730763
2013.03.10,0:00,46.6,48.5,36.6,47,1168923
2013.03.17,0:00,47,74.9,46.8,64.4,959944
2013.03.24,0:00,64.4,95.8,62.7,92.2,1325426
2013.03.31,0:00,92.2,147,91,142.6,33978569
2013.04.07,0:00,142.6,266,54.2,93,31485115
2013.04.14,0:00,93,136.4,50,126.6,23040177
2013.04.21,0:00,126.6,166.4,110,128,52544320
2013.04.28,0:00,128,149.1,79,112.9,44691454
2013.05.05,0:00,112.9,124.9,97.5,115.6,58487371
2013.05.12,0:00,115.7,125.6,103.1,123.3,45029563
2013.05.19,0:00,123.2,133.9,113.5,130.7,35480620
2013.05.26,0:00,130.8,136.1,124,128.3,31751
2013.06.02,0:00,128.3,130,106.2,109.1,38904
2013.06.09,0:00,109.1,111.8,88,100,34918
2013.06.16,0:00,100,115,98.9,108.8,19221
2013.06.23,0:00,108.8,109.1,92.2,95.4,17368
2013.06.30,0:00,95.4,98.1,65.5,68.9,19765
2013.07.07,0:00,68.9,102.1,66.6,97.5,16610629
2013.07.14,0:00,98.3,101.9,86.2,89.8,47791607
2013.07.21,0:00,90,97.5,88,94.5,26808151
2013.07.28,0:00,94.2,111.7,94,105,39048007
2013.08.04,0:00,104.9,107.8,94.5,103,43025347
2013.08.11,0:00,103,108.9,94,97.1,15989496
2013.08.18,0:00,97.1,109,96.5,106.2,37098
2013.08.25,0:00,106.1,125.8,106,125.7,26221
2013.09.01,0:00,125.7,126.6,111.6,117,34480
2013.09.08,0:00,116.7,125,114.4,123.1,25234
2013.09.15,0:00,122.7,126,119.5,121,24945
2013.09.22,0:00,121,124.7,119.6,123.5,13177
2013.09.29,0:00,123.5,124.7,75.2,119,18283
2013.10.06,0:00,119,127.5,119,127,23303
2013.10.13,0:00,127,160,127,158.5,42212
2013.10.20,0:00,158.5,204,152.4,183.5,75086
2013.10.27,0:00,184,209.8,181.2,207.4,84190
2013.11.03,0:00,207.4,349.1,205.9,297.6,82307
2013.11.10,0:00,297.7,479.9,290,478.4,76832
2013.11.17,0:00,478.4,820,376.7,707.8,122354
2013.11.24,0:00,708.2,1090,677,849.2,102511
2013.12.01,0:00,848.2,1077.3,551,759,113729
2013.12.08,0:00,759,970.9,757.8,853.6,77928
2013.12.15,0:00,855,870,420,615,161562
2013.12.22,0:00,614,761,592,725.7,89898
2013.12.29,0:00,725.7,919.1,711,905.4,73843
2014.01.05,0:00,905.3,990,720.1,850,119081
2014.01.12,0:00,850,850,783,825.8,86422
2014.01.19,0:00,827.9,841.5,753.1,822.9,79778
2014.01.26,0:00,822.9,829.6,727.1,796.9,70392
2014.02.02,0:00,796.9,809.8,671,705.9,60653
2014.02.09,0:00,706,719.9,301,573,76466
2014.02.16,0:00,573,645.4,514.1,605,80692
2014.02.23,0:00,604.6,609.7,430.1,550.6,94319
2014.03.02,0:00,550.5,698,546,629,75782
2014.03.09,0:00,629,641.5,610,622,39246
2014.03.16,0:00,622,627.7,555.7,567.5,87750
2014.03.23,0:00,566.6,590.1,450,456.3,90656
2014.03.30,0:00,456.3,500,410,459,113987
2014.04.06,0:00,459,464,342.8,400.9,109019
2014.04.13,0:00,400.8,545,396.5,485.3,92013
2014.04.20,0:00,485.3,504,427,431.9,56577
2014.04.27,0:00,432.1,453.5,412.9,426.4,67322
2014.05.04,0:00,426.3,446,411.4,430,49325
2014.05.11,0:00,430,441.9,428,439.8,31934
2014.05.18,0:00,439.8,570,435.3,565.4,61518
2014.05.25,0:00,565.2,667.5,541.1,641,67819
2014.06.01,0:00,641,667,602,643,60801
2014.06.08,0:00,643,648.9,546.3,572,56119
2014.06.15,0:00,572,610,568.9,591.3,44906
2014.06.22,0:00,591.3,604.8,556,590.2,38062
2014.06.29,0:00,590,654.1,588.1,630.3,56698
2014.07.06,0:00,631.2,633,603.7,621.1,39589
2014.07.13,0:00,621.1,623.5,606.1,612.5,25869
2014.07.20,0:00,612.5,616.4,578.6,585.7,33136
2014.07.27,0:00,585.8,598,555,581,43666
2014.08.03,0:00,580,595,572.4,584,31141
2014.08.10,0:00,584,587.7,480,480.1,70489
2014.08.17,0:00,480.2,529,334,504.3,87858
2014.08.24,0:00,504.3,517.9,472.2,476.9,50419
2014.08.31,0:00,476.9,493.6,465.6,476,35551
2014.09.07,0:00,476,483,459.7,469.6,37472
2014.09.14,0:00,469.6,470,371.1,380.7,74973
2014.09.21,0:00,380.7,446.1,370.3,373.8,53690
