Date,time,open,high,low,close,volume
2018.04.01,0:00,119.5,119.5,119.5,119.5,211985
2018.04.08,0:00,117.5,122.5,111,113,219235
2018.04.22,0:00,151.5,152.5,141.5,146,364312
2018.05.13,0:00,145.75,146.5,128.5,136.5,537638
2018.05.20,0:00,139.5,139.75,114.37,117.87,534491
2018.05.27,0:00,117,122.23,109.48,117.98,12522
2018.06.03,0:00,124.48,125.98,114.07,117.57,9603
2018.06.10,0:00,101.58,106.08,87.08,95.08,14196
2018.06.17,0:00,93.58,99.08,80.58,81.08,6849
2018.06.24,0:00,78.58,82.08,70.58,71.58,6704
2018.07.01,0:00,79.08,87.58,76.08,80.58,7260
2018.07.08,0:00,82.93,82.93,73.93,75.43,7545
2018.07.15,0:00,78.93,93.93,77.43,81.82,8820
2018.07.22,0:00,81.32,90.32,80.32,83.82,5741
2018.07.29,0:00,82.82,83.82,74.82,76.82,7756
2018.08.05,0:00,74.32,76.57,59.82,60.07,6644
2018.08.12,0:00,59.57,60.57,49.07,58.57,8235
2018.08.19,0:00,57.57,59.07,53.07,57.57,5216
2018.08.26,0:00,56.57,63.57,56.57,61.82,3324
2018.09.02,0:00,65.32,69.17,53.82,56.57,3874
2018.09.09,0:00,56.07,58.57,47.07,57.82,4420
2018.09.16,0:00,57.07,62.07,50.57,60.07,10076
2018.09.23,0:00,60.32,65.3,53.93,61.32,26973
2018.09.30,0:00,60.21,61.57,56.2,57.47,31292
2018.10.07,0:00,57.22,59.39,49.35,52.77,7366
2018.10.14,0:00,51.36,56.32,50.33,52.47,12333
2018.10.21,0:00,51.97,52.47,50.97,51.47,10488
2018.10.28,0:00,50.72,51.42,46.96,50.94,8172
2018.11.04,0:00,53.22,56.17,50.87,50.97,36477
2018.11.11,0:00,50.07,51.17,38.83,41.78,47574
2018.11.18,0:00,41.93,42.14,30.17,31.27,68903
2018.11.25,0:00,30.02,35.81,27.32,31.22,43119
2018.12.02,0:00,33.08,33.23,22.03,24.82,25709
2018.12.09,0:00,24.85,25.48,22.08,22.38,16592
2018.12.16,0:00,25.03,32.98,24.78,29.98,30281
2018.12.23,0:00,33.13,36.43,27.28,31.91,18614
2018.12.30,0:00,31.2,33.38,29.98,32.07,14724
2019.01.06,0:00,38.88,40.93,31.68,32.53,30700
2019.01.13,0:00,29.48,32.68,28.23,30.78,17833
2019.01.20,0:00,30.38,33.03,28.23,32.03,18936
2019.01.27,0:00,32.24,33.03,29.63,33.03,19303
2019.02.03,0:00,32.93,44.43,31.65,40.95,189640
2019.02.10,0:00,45.9,46.52,39.44,41.62,448540
2019.02.17,0:00,42.84,51.7,42.84,48.58,532301
2019.02.24,0:00,44.07,48.54,42.26,47.86,434095
2019.03.03,0:00,47.26,58.64,44.5,55.7,412667
2019.03.10,0:00,56.11,58.45,51.92,58.04,162719
2019.03.17,0:00,60.48,62.04,56.71,58.72,119534
2019.03.24,0:00,59.06,61.39,56.93,60.8,74164
2019.03.31,0:00,60.16,99.19,59.69,87.8,334736
2019.04.07,0:00,92.41,94.45,75.18,78.37,331601
2019.04.14,0:00,79.14,84.51,74.87,81.64,257067
2019.04.21,0:00,76.33,79.6,68.75,70.4,290054
2019.04.28,0:00,66.89,79.46,64.58,78.09,200313
2019.05.05,0:00,75.56,78.99,70.85,76.04,290388
2019.05.12,0:00,86.15,107.44,81.41,86.51,589235
2019.05.19,0:00,96.34,103.9,84.26,102.24,361458
2019.05.26,0:00,112.25,121.93,104.29,111.02,449267
2019.06.02,0:00,114.04,121.13,96.97,115.46,373337
2019.06.09,0:00,113.7,144.1,111.46,129.76,480007
2019.06.16,0:00,136.18,141.43,128.07,136.84,463739
2019.06.23,0:00,137.46,138.19,108.45,119.01,520867
2019.06.30,0:00,128.55,128.6,110.79,118.24,376131
2019.07.07,0:00,119.83,125.27,94.92,104.79,179389
2019.07.14,0:00,92.55,104.6,76.17,97.23,252200
2019.07.21,0:00,98.88,100.54,86.6,93.9,121069
2019.07.28,0:00,88.07,100.44,81.94,92.91,147842
2019.08.04,0:00,92.86,106.78,82.17,84.14,216551
2019.08.11,0:00,89.7,89.98,70.7,75.02,172143
2019.08.18,0:00,77.81,78.68,69.64,74.47,108229
2019.08.25,0:00,71.03,75.28,61.71,64.91,87045
2019.09.01,0:00,66.49,70.7,61.94,64.77,82769
2019.09.08,0:00,70.02,72.84,66.23,67.79,74091
